VM_ID,MIPS,Rate,Reputation
0,985,0.198,0
1,941,0.406,0
2,905,0.465,0
3,858,0.639,0
4,830,0.226,0
5,772,0.718,0
6,759,0.304,0
7,752,0.27,0
8,750,0.12,0
9,510,0.553,0
10,494,0.279,0
11,427,0.9,0
12,418,0.156,0
13,359,0.311,0
14,348,0.759,0
15,242,0.54,0
16,234,0.43,0
17,207,0.565,0
18,191,0.672,0
19,154,0.26,0
20,995,0.415,0
21,972,0.182,0
22,946,0.583,0
23,918,0.258,0
24,899,0.734,0
25,867,0.341,0
26,853,0.128,0
27,829,0.647,0
28,803,0.209,0
29,781,0.452,0
30,769,0.716,0
31,742,0.189,0
32,711,0.332,0
33,687,0.514,0
34,661,0.174,0
35,639,0.856,0
36,608,0.267,0
37,582,0.744,0
38,559,0.337,0
39,533,0.903,0
40,512,0.196,0
41,489,0.478,0
42,462,0.315,0
43,436,0.676,0
44,414,0.229,0
45,392,0.821,0
46,357,0.364,0
47,324,0.912,0
48,276,0.182,0
49,233,0.643,0
