Task ID,Length,Budget,Deadline,Pref
0,44446,84,161,C
1,39156,19,186,C
2,55384,53,49,T
3,57976,52,124,C
4,53361,84,89,T
5,50653,98,34,T
6,73881,20,161,T
7,67809,71,22,C
8,71991,92,66,C
9,59720,77,126,T
10,37059,70,126,C
11,64334,64,90,C
12,64469,82,109,T
13,35363,57,172,C
14,58520,16,80,C
15,56164,13,163,T
16,68939,12,136,C
17,66899,37,30,C
18,62506,50,32,C
19,63198,65,34,T
20,31741,93,116,T
21,32861,83,116,T
22,53609,85,38,C
23,46214,34,116,T
24,32762,72,68,C
25,41485,44,87,C
26,41714,94,146,T
27,62945,19,102,C
28,72924,67,80,C
29,31454,78,181,C
30,50808,48,163,C
31,41127,82,54,C
32,70461,24,115,T
33,44499,39,125,T
34,59865,22,110,T
35,34278,67,118,T
36,43243,21,22,T
37,32321,75,185,C
38,73852,74,48,C
39,30315,72,57,T
40,48857,37,115,C
41,53384,99,164,C
42,29054,41,124,C
43,52691,42,115,C
44,36798,11,161,T
45,71184,91,64,C
46,39816,58,39,T
47,71741,70,189,T
48,59043,12,180,T
49,55912,72,36,C
50,60235,15,116,T
51,49467,64,82,T
52,38355,29,32,C
53,35376,33,189,C
54,57838,45,22,C
55,35602,69,173,C
56,45977,42,76,C
57,37988,10,29,T
58,66578,35,166,T
59,34445,79,126,T
60,69155,27,59,C
61,57730,77,67,C
62,72433,29,94,T
63,64468,59,109,T
64,43243,43,77,T
65,54294,39,54,T
66,43162,51,23,C
67,72947,68,56,T
68,46480,81,155,T
69,37791,63,107,C
70,53436,52,135,C
71,59051,98,56,C
72,46729,96,121,T
73,59469,15,164,T
74,65715,53,121,C
75,50581,98,98,C
76,40897,32,159,T
77,71801,17,119,C
78,73894,90,40,T
79,57843,69,94,T
80,63423,34,176,T
81,50984,59,79,C
82,58039,30,37,T
83,66155,91,179,T
84,53237,82,96,C
85,60501,55,76,C
86,48689,42,45,C
87,34841,93,44,T
88,41754,24,94,T
89,43282,38,166,C
90,56730,36,92,C
91,41230,90,50,T
92,47256,60,63,C
93,37275,60,89,T
94,39425,95,177,T
95,71201,15,60,C
96,40499,64,97,C
97,69706,44,79,C
98,40405,68,36,C
99,55745,77,176,T
100,50861,90,37,C
101,46205,16,118,T
102,65705,74,29,T
103,61386,16,150,T
104,61516,20,173,C
105,43044,85,53,C
106,54552,71,184,T
107,69425,16,74,T
108,61258,98,103,T
109,47609,20,128,C
110,32655,97,129,T
111,46788,23,135,C
112,33695,58,183,T
113,47738,30,25,T
114,42131,84,75,C
115,33240,28,95,C
116,71265,23,166,T
117,47024,80,27,C
118,45023,16,43,C
119,58552,36,76,C
120,40934,16,93,C
121,42735,30,46,C
122,49243,93,28,T
123,37252,56,130,C
124,61409,32,113,C
125,63568,75,62,C
126,47976,97,143,T
127,71926,28,22,T
128,33861,10,26,C
129,31203,51,86,T
130,37722,17,172,C
131,44647,30,117,C
132,40419,71,125,T
133,36507,78,102,C
134,48455,81,103,C
135,32074,66,150,T
136,29328,28,113,T
137,31775,24,47,T
138,46868,58,76,T
139,38917,57,58,T
140,48611,82,103,C
141,65397,24,142,C
142,48681,31,139,T
143,55129,40,73,C
144,57864,21,71,C
145,31631,25,88,C
146,44977,65,108,T
147,37008,35,57,C
148,43267,87,70,C
149,69688,69,100,C
